id,category,value
109,食品,236.25
110,飲料,237.5
111,日用品,238.75
112,家電,240.0
113,食品,241.25
114,飲料,242.5
115,日用品,243.75
116,家電,245.0
117,食品,246.25
118,飲料,247.5
119,日用品,248.75
120,家電,250.0
121,食品,251.25
122,飲料,252.5
123,日用品,253.75
124,家電,255.0
125,食品,256.25
126,飲料,257.5
127,日用品,258.75
128,家電,260.0
129,食品,261.25
130,飲料,262.5
131,日用品,263.75
132,家電,265.0
133,食品,266.25
134,飲料,267.5
135,日用品,268.75
136,家電,270.0
137,食品,271.25
138,飲料,272.5
139,日用品,273.75
140,家電,275.0
141,食品,276.25
142,飲料,277.5
143,日用品,278.75
144,家電,280.0
145,食品,281.25
146,飲料,282.5
147,日用品,283.75
148,家電,285.0
149,食品,286.25
150,飲料,287.5
151,日用品,288.75
152,家電,290.0
153,食品,291.25
154,飲料,292.5
155,日用品,293.75
156,家電,295.0
157,食品,296.25
158,飲料,297.5
159,日用品,298.75
160,家電,300.0
161,食品,301.25
162,飲料,302.5
163,日用品,303.75
164,家電,305.0
165,食品,306.25
166,飲料,307.5
167,日用品,308.75
168,家電,310.0
169,食品,311.25
170,飲料,312.5
171,日用品,313.75
172,家電,315.0
173,食品,316.25
174,飲料,317.5
175,日用品,318.75
176,家電,320.0
177,食品,321.25
178,飲料,322.5
179,日用品,323.75
180,家電,325.0
181,食品,326.25
182,飲料,327.5
183,日用品,328.75
184,家電,330.0
185,食品,331.25
186,飲料,332.5
187,日用品,333.75
188,家電,335.0
189,食品,336.25
190,飲料,337.5
191,日用品,338.75
192,家電,340.0
193,食品,341.25
194,飲料,342.5
195,日用品,343.75
196,家電,345.0
197,食品,346.25
198,飲料,347.5
199,日用品,348.75
200,家電,350.0
201,食品,351.25
202,飲料,352.5
203,日用品,353.75
204,家電,355.0
205,食品,356.25
206,飲料,357.5
207,日用品,358.75
208,家電,360.0
209,食品,361.25
210,飲料,362.5
211,日用品,363.75
212,家電,365.0
213,食品,366.25
214,飲料,367.5
215,日用品,368.75
216,家電,370.0
217,食品,371.25
218,飲料,372.5
219,日用品,373.75
220,家電,375.0
221,食品,376.25
222,飲料,377.5
223,日用品,378.75
224,家電,380.0
225,食品,381.25
226,飲料,382.5
227,日用品,383.75
228,家電,385.0
229,食品,386.25
230,飲料,387.5
231,日用品,388.75
232,家電,390.0
233,食品,391.25
234,飲料,392.5
235,日用品,393.75
236,家電,395.0
237,食品,396.25
238,飲料,397.5
239,日用品,398.75
240,家電,400.0
241,食品,401.25
242,飲料,402.5
243,日用品,403.75
244,家電,405.0
245,食品,406.25
246,飲料,407.5
247,日用品,408.75
248,家電,410.0
249,食品,411.25
250,飲料,412.5
251,日用品,413.75
252,家電,415.0
253,食品,416.25
254,飲料,417.5
255,日用品,418.75
256,家電,420.0
257,食品,421.25
258,飲料,422.5
259,日用品,423.75
260,家電,425.0
261,食品,426.25
262,飲料,427.5
263,日用品,428.75
264,家電,430.0
265,食品,431.25
266,飲料,432.5
267,日用品,433.75
268,家電,435.0
269,食品,436.25
270,飲料,437.5
271,日用品,438.75
272,家電,440.0
273,食品,441.25
274,飲料,442.5
275,日用品,443.75
276,家電,445.0
277,食品,446.25
278,飲料,447.5
279,日用品,448.75
280,家電,450.0
281,食品,451.25
282,飲料,452.5
283,日用品,453.75
284,家電,455.0
285,食品,456.25
286,飲料,457.5
287,日用品,458.75
288,家電,460.0
289,食品,461.25
290,飲料,462.5
291,日用品,463.75
292,家電,465.0
293,食品,466.25
294,飲料,467.5
295,日用品,468.75
296,家電,470.0
297,食品,471.25
298,飲料,472.5
299,日用品,473.75
300,家電,475.0
301,食品,476.25
302,飲料,477.5
303,日用品,478.75
304,家電,480.0
305,食品,481.25
306,飲料,482.5
307,日用品,483.75
308,家電,485.0
309,食品,486.25
310,飲料,487.5
311,日用品,488.75
312,家電,490.0
313,食品,491.25
314,飲料,492.5
315,日用品,493.75
316,家電,495.0
317,食品,496.25
318,飲料,497.5
319,日用品,498.75
320,家電,500.0
321,食品,501.25
322,飲料,502.5
323,日用品,503.75
324,家電,505.0
325,食品,506.25
326,飲料,507.5
327,日用品,508.75
328,家電,510.0
329,食品,511.25
330,飲料,512.5
331,日用品,513.75
332,家電,515.0
333,食品,516.25
334,飲料,517.5
335,日用品,518.75
336,家電,520.0
337,食品,521.25
338,飲料,522.5
339,日用品,523.75
340,家電,525.0
341,食品,526.25
342,飲料,527.5
343,日用品,528.75
344,家電,530.0
345,食品,531.25
346,飲料,532.5
347,日用品,533.75
348,家電,535.0
349,食品,536.25
350,飲料,537.5
351,日用品,538.75
352,家電,540.0
353,食品,541.25
354,飲料,542.5
355,日用品,543.75
356,家電,545.0
357,食品,546.25
358,飲料,547.5
359,日用品,548.75
360,家電,550.0
361,食品,551.25
362,飲料,552.5
363,日用品,553.75
364,家電,555.0
365,食品,556.25
366,飲料,557.5
367,日用品,558.75
368,家電,560.0
369,食品,561.25
370,飲料,562.5
371,日用品,563.75
372,家電,565.0
373,食品,566.25
374,飲料,567.5
375,日用品,568.75
376,家電,570.0
377,食品,571.25
378,飲料,572.5
379,日用品,573.75
380,家電,575.0
381,食品,576.25
382,飲料,577.5
383,日用品,578.75
384,家電,580.0
385,食品,581.25
386,飲料,582.5
387,日用品,583.75
388,家電,585.0
389,食品,586.25
390,飲料,587.5
391,日用品,588.75
392,家電,590.0
393,食品,591.25
394,飲料,592.5
395,日用品,593.75
396,家電,595.0
397,食品,596.25
398,飲料,597.5
399,日用品,598.75
400,家電,600.0
401,食品,601.25
402,飲料,602.5
403,日用品,603.75
404,家電,605.0
405,食品,606.25
406,飲料,607.5
407,日用品,608.75
408,家電,610.0
409,食品,611.25
410,飲料,612.5
411,日用品,613.75
412,家電,615.0
413,食品,616.25
414,飲料,617.5
415,日用品,618.75
416,家電,620.0
417,食品,621.25
418,飲料,622.5
419,日用品,623.75
420,家電,625.0
421,食品,626.25
422,飲料,627.5
423,日用品,628.75
424,家電,630.0
425,食品,631.25
426,飲料,632.5
427,日用品,633.75
428,家電,635.0
429,食品,636.25
430,飲料,637.5
431,日用品,638.75
432,家電,640.0
433,食品,641.25
434,飲料,642.5
435,日用品,643.75
436,家電,645.0
437,食品,646.25
438,飲料,647.5
439,日用品,648.75
440,家電,650.0
441,食品,651.25
442,飲料,652.5
443,日用品,653.75
444,家電,655.0
445,食品,656.25
446,飲料,657.5
447,日用品,658.75
448,家電,660.0
449,食品,661.25
450,飲料,662.5
451,日用品,663.75
452,家電,665.0
453,食品,666.25
454,飲料,667.5
455,日用品,668.75
456,家電,670.0
457,食品,671.25
458,飲料,672.5
459,日用品,673.75
460,家電,675.0
461,食品,676.25
462,飲料,677.5
463,日用品,678.75
464,家電,680.0
465,食品,681.25
466,飲料,682.5
467,日用品,683.75
468,家電,685.0
469,食品,686.25
470,飲料,687.5
471,日用品,688.75
472,家電,690.0
473,食品,691.25
474,飲料,692.5
475,日用品,693.75
476,家電,695.0
477,食品,696.25
478,飲料,697.5
479,日用品,698.75
480,家電,700.0
481,食品,701.25
482,飲料,702.5
483,日用品,703.75
484,家電,705.0
485,食品,706.25
486,飲料,707.5
487,日用品,708.75
488,家電,710.0
489,食品,711.25
490,飲料,712.5
491,日用品,713.75
492,家電,715.0
493,食品,716.25
494,飲料,717.5
495,日用品,718.75
496,家電,720.0
497,食品,721.25
498,飲料,722.5
499,日用品,723.75
500,家電,100.0
501,食品,101.25
502,飲料,102.5
503,日用品,103.75
504,家電,105.0
505,食品,106.25
506,飲料,107.5
507,日用品,108.75
508,家電,110.0
509,食品,111.25
510,飲料,112.5
511,日用品,113.75
512,家電,115.0
513,食品,116.25
514,飲料,117.5
515,日用品,118.75
516,家電,120.0
517,食品,121.25
518,飲料,122.5
519,日用品,123.75
520,家電,125.0
521,食品,126.25
522,飲料,127.5
523,日用品,128.75
524,家電,130.0
525,食品,131.25
526,飲料,132.5
527,日用品,133.75
528,家電,135.0
529,食品,136.25
530,飲料,137.5
531,日用品,138.75
532,家電,140.0
533,食品,141.25
534,飲料,142.5
535,日用品,143.75
536,家電,145.0
537,食品,146.25
538,飲料,147.5
539,日用品,148.75
540,家電,150.0
541,食品,151.25
542,飲料,152.5
543,日用品,153.75
544,家電,155.0
545,食品,156.25
546,飲料,157.5
547,日用品,158.75
548,家電,160.0
549,食品,161.25
550,飲料,162.5
551,日用品,163.75
552,家電,165.0
553,食品,166.25
554,飲料,167.5
555,日用品,168.75
556,家電,170.0
557,食品,171.25
558,飲料,172.5
559,日用品,173.75
560,家電,175.0
561,食品,176.25
562,飲料,177.5
563,日用品,178.75
564,家電,180.0
565,食品,181.25
566,飲料,182.5
567,日用品,183.75
568,家電,185.0
569,食品,186.25
570,飲料,187.5
571,日用品,188.75
572,家電,190.0
573,食品,191.25
574,飲料,192.5
575,日用品,193.75
576,家電,195.0
577,食品,196.25
578,飲料,197.5
579,日用品,198.75
580,家電,200.0
581,食品,201.25
582,飲料,202.5
583,日用品,203.75
584,家電,205.0
585,食品,206.25
586,飲料,207.5
587,日用品,208.75
588,家電,210.0
589,食品,211.25
590,飲料,212.5
591,日用品,213.75
592,家電,215.0
593,食品,216.25
594,飲料,217.5
595,日用品,218.75
596,家電,220.0
597,食品,221.25
598,飲料,222.5
599,日用品,223.75
600,家電,225.0
601,食品,226.25
602,飲料,227.5
603,日用品,228.75
604,家電,230.0
605,食品,231.25
606,飲料,232.5
607,日用品,233.75
608,家電,235.0
609,食品,236.25
610,飲料,237.5
611,日用品,238.75
612,家電,240.0
613,食品,241.25
614,飲料,242.5
615,日用品,243.75
616,家電,245.0
617,食品,246.25
618,飲料,247.5
619,日用品,248.75
620,家電,250.0
621,食品,251.25
622,飲料,252.5
623,日用品,253.75
624,家電,255.0
625,食品,256.25
626,飲料,257.5
627,日用品,258.75
628,家電,260.0
629,食品,261.25
630,飲料,262.5
631,日用品,263.75
632,家電,265.0
633,食品,266.25
634,飲料,267.5
635,日用品,268.75
636,家電,270.0
637,食品,271.25
638,飲料,272.5
639,日用品,273.75
640,家電,275.0
641,食品,276.25
642,飲料,277.5
643,日用品,278.75
644,家電,280.0
645,食品,281.25
646,飲料,282.5
647,日用品,283.75
648,家電,285.0
649,食品,286.25
650,飲料,287.5
651,日用品,288.75
652,家電,290.0
653,食品,291.25
654,飲料,292.5
655,日用品,293.75
656,家電,295.0
657,食品,296.25
658,飲料,297.5
659,日用品,298.75
660,家電,300.0
661,食品,301.25
662,飲料,302.5
663,日用品,303.75
664,家電,305.0
665,食品,306.25
666,飲料,307.5
667,日用品,308.75
668,家電,310.0
669,食品,311.25
670,飲料,312.5
671,日用品,313.75
672,家電,315.0
673,食品,316.25
674,飲料,317.5
675,日用品,318.75
676,家電,320.0
677,食品,321.25
678,飲料,322.5
679,日用品,323.75
680,家電,325.0
681,食品,326.25
682,飲料,327.5
683,日用品,328.75
684,家電,330.0
685,食品,331.25
686,飲料,332.5
687,日用品,333.75
688,家電,335.0
689,食品,336.25
690,飲料,337.5
691,日用品,338.75
692,家電,340.0
693,食品,341.25
694,飲料,342.5
695,日用品,343.75
696,家電,345.0
697,食品,346.25
698,飲料,347.5
699,日用品,348.75
700,家電,350.0
701,食品,351.25
702,飲料,352.5
703,日用品,353.75
704,家電,355.0
705,食品,356.25
706,飲料,357.5
707,日用品,358.75
708,家電,360.0
709,食品,361.25
710,飲料,362.5
711,日用品,363.75
712,家電,365.0
713,食品,366.25
714,飲料,367.5
715,日用品,368.75
716,家電,370.0
717,食品,371.25
718,飲料,372.5
719,日用品,373.75
720,家電,375.0
721,食品,376.25
722,飲料,377.5
723,日用品,378.75
724,家電,380.0
725,食品,381.25
726,飲料,382.5
727,日用品,383.75
728,家電,385.0
729,食品,386.25
730,飲料,387.5
731,日用品,388.75
732,家電,390.0
733,食品,391.25
734,飲料,392.5
735,日用品,393.75
736,家電,395.0
737,食品,396.25
738,飲料,397.5
739,日用品,398.75
740,家電,400.0
741,食品,401.25
742,飲料,402.5
743,日用品,403.75
744,家電,405.0
745,食品,406.25
746,飲料,407.5
747,日用品,408.75
748,家電,410.0
749,食品,411.25
750,飲料,412.5
751,日用品,413.75
752,家電,415.0
753,食品,416.25
754,飲料,417.5
755,日用品,418.75
756,家電,420.0
757,食品,421.25
758,飲料,422.5
759,日用品,423.75
760,家電,425.0
761,食品,426.25
762,飲料,427.5
763,日用品,428.75
764,家電,430.0
765,食品,431.25
766,飲料,432.5
767,日用品,433.75
768,家電,435.0
769,食品,436.25
770,飲料,437.5
771,日用品,438.75
772,家電,440.0
773,食品,441.25
774,飲料,442.5
775,日用品,443.75
776,家電,445.0
777,食品,446.25
778,飲料,447.5
779,日用品,448.75
780,家電,450.0
781,食品,451.25
782,飲料,452.5
783,日用品,453.75
784,家電,455.0
785,食品,456.25
786,飲料,457.5
787,日用品,458.75
788,家電,460.0
789,食品,461.25
790,飲料,462.5
791,日用品,463.75
792,家電,465.0
793,食品,466.25
794,飲料,467.5
795,日用品,468.75
796,家電,470.0
797,食品,471.25
798,飲料,472.5
799,日用品,473.75
800,家電,475.0
801,食品,476.25
802,飲料,477.5
803,日用品,478.75
804,家電,480.0
805,食品,481.25
806,飲料,482.5
807,日用品,483.75
808,家電,485.0
809,食品,486.25
810,飲料,487.5
811,日用品,488.75
812,家電,490.0
813,食品,491.25
814,飲料,492.5
815,日用品,493.75
816,家電,495.0
817,食品,496.25
818,飲料,497.5
819,日用品,498.75
820,家電,500.0
821,食品,501.25
822,飲料,502.5
823,日用品,503.75
824,家電,505.0
825,食品,506.25
826,飲料,507.5
827,日用品,508.75
828,家電,510.0
829,食品,511.25
830,飲料,512.5
831,日用品,513.75
832,家電,515.0
833,食品,516.25
834,飲料,517.5
835,日用品,518.75
836,家電,520.0
837,食品,521.25
838,飲料,522.5
839,日用品,523.75
840,家電,525.0
841,食品,526.25
842,飲料,527.5
843,日用品,528.75
844,家電,530.0
845,食品,531.25
846,飲料,532.5
847,日用品,533.75
848,家電,535.0
849,食品,536.25
850,飲料,537.5
851,日用品,538.75
852,家電,540.0
853,食品,541.25
854,飲料,542.5
855,日用品,543.75
856,家電,545.0
857,食品,546.25
858,飲料,547.5
859,日用品,548.75
860,家電,550.0
861,食品,551.25
862,飲料,552.5
863,日用品,553.75
864,家電,555.0
865,食品,556.25
866,飲料,557.5
867,日用品,558.75
868,家電,560.0
869,食品,561.25
870,飲料,562.5
871,日用品,563.75
872,家電,565.0
873,食品,566.25
874,飲料,567.5
875,日用品,568.75
876,家電,570.0
877,食品,571.25
878,飲料,572.5
879,日用品,573.75
880,家電,575.0
881,食品,576.25
882,飲料,577.5
883,日用品,578.75
884,家電,580.0
885,食品,581.25
886,飲料,582.5
887,日用品,583.75
888,家電,585.0
889,食品,586.25
890,飲料,587.5
891,日用品,588.75
892,家電,590.0
893,食品,591.25
894,飲料,592.5
895,日用品,593.75
896,家電,595.0
897,食品,596.25
898,飲料,597.5
899,日用品,598.75
900,家電,600.0
901,食品,601.25
902,飲料,602.5
903,日用品,603.75
904,家電,605.0
905,食品,606.25
906,飲料,607.5
907,日用品,608.75
908,家電,610.0
909,食品,611.25
910,飲料,612.5
911,日用品,613.75
912,家電,615.0
913,食品,616.25
914,飲料,617.5
915,日用品,618.75
916,家電,620.0
917,食品,621.25
918,飲料,622.5
919,日用品,623.75
920,家電,625.0
921,食品,626.25
922,飲料,627.5
923,日用品,628.75
924,家電,630.0
925,食品,631.25
926,飲料,632.5
927,日用品,633.75
928,家電,635.0
929,食品,636.25
930,飲料,637.5
931,日用品,638.75
932,家電,640.0
933,食品,641.25
934,飲料,642.5
935,日用品,643.75
936,家電,645.0
937,食品,646.25
938,飲料,647.5
939,日用品,648.75
940,家電,650.0
941,食品,651.25
942,飲料,652.5
943,日用品,653.75
944,家電,655.0
945,食品,656.25
946,飲料,657.5
947,日用品,658.75
948,家電,660.0
949,食品,661.25
950,飲料,662.5
951,日用品,663.75
952,家電,665.0
953,食品,666.25
954,飲料,667.5
955,日用品,668.75
956,家電,670.0
957,食品,671.25
958,飲料,672.5
959,日用品,673.75
960,家電,675.0
961,食品,676.25
962,飲料,677.5
963,日用品,678.75
964,家電,680.0
965,食品,681.25
966,飲料,682.5
967,日用品,683.75
968,家電,685.0
969,食品,686.25
970,飲料,687.5
971,日用品,688.75
972,家電,690.0
973,食品,691.25
974,飲料,692.5
975,日用品,693.75
976,家電,695.0
977,食品,696.25
978,飲料,697.5
979,日用品,698.75
980,家電,700.0
981,食品,701.25
982,飲料,702.5
983,日用品,703.75
984,家電,705.0
985,食品,706.25
986,飲料,707.5
987,日用品,708.75
988,家電,710.0
989,食品,711.25
990,飲料,712.5
991,日用品,713.75
992,家電,715.0
993,食品,716.25
994,飲料,717.5
995,日用品,718.75
996,家電,720.0
997,食品,721.25
998,飲料,722.5
999,日用品,723.75
1000,家電,100.0
1001,食品,101.25
1002,飲料,102.5
1003,日用品,103.75
1004,家電,105.0
1005,食品,106.25
1006,飲料,107.5
1007,日用品,108.75
1008,家電,110.0
1009,食品,111.25
1010,飲料,112.5
1011,日用品,113.75
1012,家電,115.0
1013,食品,116.25
1014,飲料,117.5
1015,日用品,118.75
1016,家電,120.0
1017,食品,121.25
1018,飲料,122.5
1019,日用品,123.75
1020,家電,125.0
1021,食品,126.25
1022,飲料,127.5
1023,日用品,128.75
1024,家電,130.0
1025,食品,131.25
1026,飲料,132.5
1027,日用品,133.75
1028,家電,135.0
1029,食品,136.25
1030,飲料,137.5
1031,日用品,138.75
1032,家電,140.0
1033,食品,141.25
1034,飲料,142.5
1035,日用品,143.75
1036,家電,145.0
1037,食品,146.25
1038,飲料,147.5
1039,日用品,148.75
1040,家電,150.0
1041,食品,151.25
1042,飲料,152.5
1043,日用品,153.75
1044,家電,155.0
1045,食品,156.25
1046,飲料,157.5
1047,日用品,158.75
1048,家電,160.0
1049,食品,161.25
1050,飲料,162.5
1051,日用品,163.75
1052,家電,165.0
1053,食品,166.25
1054,飲料,167.5
1055,日用品,168.75
1056,家電,170.0
1057,食品,171.25
1058,飲料,172.5
1059,日用品,173.75
1060,家電,175.0
1061,食品,176.25
1062,飲料,177.5
1063,日用品,178.75
1064,家電,180.0
1065,食品,181.25
1066,飲料,182.5
1067,日用品,183.75
1068,家電,185.0
1069,食品,186.25
1070,飲料,187.5
1071,日用品,188.75
1072,家電,190.0
1073,食品,191.25
1074,飲料,192.5
1075,日用品,193.75
1076,家電,195.0
1077,食品,196.25
1078,飲料,197.5
1079,日用品,198.75
1080,家電,200.0
1081,食品,201.25
1082,飲料,202.5
1083,日用品,203.75
1084,家電,205.0
1085,食品,206.25
1086,飲料,207.5
1087,日用品,208.75
1088,家電,210.0
1089,食品,211.25
1090,飲料,212.5
1091,日用品,213.75
1092,家電,215.0
1093,食品,216.25
1094,飲料,217.5
1095,日用品,218.75
1096,家電,220.0
1097,食品,221.25
1098,飲料,222.5
1099,日用品,223.75
1100,家電,225.0
1101,食品,226.25
1102,飲料,227.5
1103,日用品,228.75
1104,家電,230.0
1105,食品,231.25
1106,飲料,232.5
1107,日用品,233.75
1108,家電,235.0
1109,食品,236.25
1110,飲料,237.5
1111,日用品,238.75
1112,家電,240.0
1113,食品,241.25
1114,飲料,242.5
1115,日用品,243.75
1116,家電,245.0
1117,食品,246.25
1118,飲料,247.5
1119,日用品,248.75
1120,家電,250.0
1121,食品,251.25
1122,飲料,252.5
1123,日用品,253.75
1124,家電,255.0
1125,食品,256.25
1126,飲料,257.5
1127,日用品,258.75
1128,家電,260.0
1129,食品,261.25
1130,飲料,262.5
1131,日用品,263.75
1132,家電,265.0
1133,食品,266.25
1134,飲料,267.5
1135,日用品,268.75
1136,家電,270.0
1137,食品,271.25
1138,飲料,272.5
1139,日用品,273.75
1140,家電,275.0
1141,食品,276.25
1142,飲料,277.5
1143,日用品,278.75
1144,家電,280.0
1145,食品,281.25
1146,飲料,282.5
1147,日用品,283.75
1148,家電,285.0
1149,食品,286.25
1150,飲料,287.5
1151,日用品,288.75
1152,家電,290.0
1153,食品,291.25
1154,飲料,292.5
1155,日用品,293.75
1156,家電,295.0
1157,食品,296.25
1158,飲料,297.5
1159,日用品,298.75
1160,家電,300.0
1161,食品,301.25
1162,飲料,302.5
1163,日用品,303.75
1164,家電,305.0
1165,食品,306.25
1166,飲料,307.5
1167,日用品,308.75
1168,家電,310.0
1169,食品,311.25
1170,飲料,312.5
1171,日用品,313.75
1172,家電,315.0
1173,食品,316.25
1174,飲料,317.5
1175,日用品,318.75
1176,家電,320.0
1177,食品,321.25
1178,飲料,322.5
1179,日用品,323.75
1180,家電,325.0
1181,食品,326.25
1182,飲料,327.5
1183,日用品,328.75
1184,家電,330.0
1185,食品,331.25
1186,飲料,332.5
1187,日用品,333.75
1188,家電,335.0
1189,食品,336.25
1190,飲料,337.5
1191,日用品,338.75
1192,家電,340.0
1193,食品,341.25
1194,飲料,342.5
1195,日用品,343.75
1196,家電,345.0
1197,食品,346.25
1198,飲料,347.5
1199,日用品,348.75
1200,家電,350.0
1201,食品,351.25
1202,飲料,352.5
1203,日用品,353.75
1204,家電,355.0
1205,食品,356.25
1206,飲料,357.5
1207,日用品,358.75
1208,家電,360.0
1209,食品,361.25
1210,飲料,362.5
1211,日用品,363.75
1212,家電,365.0
1213,食品,366.25
1214,飲料,367.5
1215,日用品,368.75
1216,家電,370.0
1217,食品,371.25
1218,飲料,372.5
1219,日用品,373.75
1220,家電,375.0
1221,食品,376.25
1222,飲料,377.5
1223,日用品,378.75
1224,家電,380.0
1225,食品,381.25
1226,飲料,382.5
1227,日用品,383.75
1228,家電,385.0
1229,食品,386.25
1230,飲料,387.5
1231,日用品,388.75
1232,家電,390.0
1233,食品,391.25
1234,飲料,392.5
1235,日用品,393.75
1236,家電,395.0
1237,食品,396.25
1238,飲料,397.5
1239,日用品,398.75
1240,家電,400.0
1241,食品,401.25
1242,飲料,402.5
1243,日用品,403.75
1244,家電,405.0
1245,食品,406.25
1246,飲料,407.5
1247,日用品,408.75
1248,家電,410.0
1249,食品,411.25
1250,飲料,412.5
1251,日用品,413.75
1252,家電,415.0
1253,食品,416.25
1254,飲料,417.5
1255,日用品,418.75
1256,家電,420.0
1257,食品,421.25
1258,飲料,422.5
1259,日用品,423.75
1260,家電,425.0
1261,食品,426.25
1262,飲料,427.5
1263,日用品,428.75
1264,家電,430.0
1265,食品,431.25
1266,飲料,432.5
1267,日用品,433.75
1268,家電,435.0
1269,食品,436.25
1270,飲料,437.5
1271,日用品,438.75
1272,家電,440.0
1273,食品,441.25
1274,飲料,442.5
1275,日用品,443.75
1276,家電,445.0
1277,食品,446.25
1278,飲料,447.5
1279,日用品,448.75
1280,家電,450.0
1281,食品,451.25
1282,飲料,452.5
1283,日用品,453.75
1284,家電,455.0
1285,食品,456.25
1286,飲料,457.5
1287,日用品,458.75
1288,家電,460.0
1289,食品,461.25
1290,飲料,462.5
1291,日用品,463.75
1292,家電,465.0
1293,食品,466.25
1294,飲料,467.5
1295,日用品,468.75
1296,家電,470.0
1297,食品,471.25
1298,飲料,472.5
1299,日用品,473.75
1300,家電,475.0
1301,食品,476.25
1302,飲料,477.5
1303,日用品,478.75
1304,家電,480.0
1305,食品,481.25
1306,飲料,482.5
1307,日用品,483.75
1308,家電,485.0
1309,食品,486.25
1310,飲料,487.5
1311,日用品,488.75
1312,家電,490.0
1313,食品,491.25
1314,飲料,492.5
1315,日用品,493.75
1316,家電,495.0
1317,食品,496.25
1318,飲料,497.5
1319,日用品,498.75
1320,家電,500.0
1321,食品,501.25
1322,飲料,502.5
1323,日用品,503.75
1324,家電,505.0
1325,食品,506.25
1326,飲料,507.5
1327,日用品,508.75
1328,家電,510.0
1329,食品,511.25
1330,飲料,512.5
1331,日用品,513.75
1332,家電,515.0
1333,食品,516.25
1334,飲料,517.5
1335,日用品,518.75
1336,家電,520.0
1337,食品,521.25
1338,飲料,522.5
1339,日用品,523.75
1340,家電,525.0
1341,食品,526.25
1342,飲料,527.5
1343,日用品,528.75
1344,家電,530.0
1345,食品,531.25
1346,飲料,532.5
1347,日用品,533.75
1348,家電,535.0
1349,食品,536.25
1350,飲料,537.5
1351,日用品,538.75
1352,家電,540.0
1353,食品,541.25
1354,飲料,542.5
1355,日用品,543.75
1356,家電,545.0
1357,食品,546.25
1358,飲料,547.5
1359,日用品,548.75
1360,家電,550.0
1361,食品,551.25
1362,飲料,552.5
1363,日用品,553.75
1364,家電,555.0
1365,食品,556.25
1366,飲料,557.5
1367,日用品,558.75
1368,家電,560.0
1369,食品,561.25
1370,飲料,562.5
1371,日用品,563.75
1372,家電,565.0
1373,食品,566.25
1374,飲料,567.5
1375,日用品,568.75
1376,家電,570.0
1377,食品,571.25
1378,飲料,572.5
1379,日用品,573.75
1380,家電,575.0
1381,食品,576.25
1382,飲料,577.5
1383,日用品,578.75
1384,家電,580.0
1385,食品,581.25
1386,飲料,582.5
1387,日用品,583.75
1388,家電,585.0
1389,食品,586.25
1390,飲料,587.5
1391,日用品,588.75
1392,家電,590.0
1393,食品,591.25
1394,飲料,592.5
1395,日用品,593.75
1396,家電,595.0
1397,食品,596.25
1398,飲料,597.5
1399,日用品,598.75
1400,家電,600.0
1401,食品,601.25
1402,飲料,602.5
1403,日用品,603.75
1404,家電,605.0
1405,食品,606.25
1406,飲料,607.5
1407,日用品,608.75
1408,家電,610.0
1409,食品,611.25
1410,飲料,612.5
1411,日用品,613.75
1412,家電,615.0
1413,食品,616.25
1414,飲料,617.5
1415,日用品,618.75
1416,家電,620.0
1417,食品,621.25
1418,飲料,622.5
1419,日用品,623.75
1420,家電,625.0
1421,食品,626.25
1422,飲料,627.5
1423,日用品,628.75
1424,家電,630.0
1425,食品,631.25
1426,飲料,632.5
1427,日用品,633.75
